x=1, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.49,0.49,0.71)
x=2, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.49,0.50,0.72)
x=3, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.49,0.50,0.72)
x=4, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.49,0.50,0.72)
x=5, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.48,0.50,0.72)
x=6, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.48,0.50,0.72)
x=7, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.48,0.50,0.72)
x=8, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.47,0.50,0.72)
x=9, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.47,0.50,0.73)
x=10, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.47,0.50,0.73)
x=11, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.46,0.50,0.73)
x=12, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.46,0.51,0.73)
x=13, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.46,0.51,0.73)
x=14, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.45,0.51,0.73)
x=15, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.45,0.51,0.73)
x=16, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.45,0.51,0.74)
x=17, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.44,0.51,0.74)
x=18, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.44,0.51,0.74)
x=19, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.44,0.51,0.74)
x=20, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.43,0.51,0.74)
x=21, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.43,0.51,0.74)
x=22, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.43,0.51,0.74)
x=23, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.42,0.52,0.74)
x=24, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.42,0.52,0.75)
x=25, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.42,0.52,0.75)
x=26, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.41,0.52,0.75)
x=27, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.41,0.52,0.75)
x=28, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.41,0.52,0.75)
x=29, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.40,0.52,0.75)
x=30, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.40,0.52,0.75)
x=31, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.40,0.52,0.76)
x=32, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.39,0.52,0.76)
x=33, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.39,0.52,0.76)
x=34, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.38,0.53,0.76)
x=35, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.38,0.53,0.76)
x=36, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.38,0.53,0.76)
x=37, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.37,0.53,0.76)
x=38, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.37,0.53,0.76)
x=39, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.37,0.53,0.77)
x=40, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.36,0.53,0.77)
x=41, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.36,0.53,0.77)
x=42, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.36,0.53,0.77)
x=43, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.35,0.53,0.77)
x=44, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.35,0.53,0.77)
x=45, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.34,0.53,0.77)
x=46, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.34,0.54,0.77)
x=47, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.34,0.54,0.77)
x=48, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.33,0.54,0.78)
x=49, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.33,0.54,0.78)
x=50, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.32,0.54,0.78)
x=51, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.32,0.54,0.78)
x=52, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.32,0.54,0.78)
x=53, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.31,0.54,0.78)
x=54, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.31,0.54,0.78)
x=55, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.30,0.54,0.78)
x=56, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.30,0.54,0.78)
x=57, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.30,0.54,0.79)
x=58, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.29,0.54,0.79)
x=59, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.29,0.54,0.79)
x=60, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.28,0.55,0.79)
x=61, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.28,0.55,0.79)
x=62, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.28,0.55,0.79)
x=63, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.27,0.55,0.79)
x=64, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.27,0.55,0.79)
x=65, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.26,0.55,0.79)
x=66, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.26,0.55,0.79)
x=67, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.26,0.55,0.79)
x=68, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.25,0.55,0.80)
x=69, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.25,0.55,0.80)
x=70, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.24,0.55,0.80)
x=71, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.24,0.55,0.80)
x=72, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.24,0.55,0.80)
x=73, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.23,0.55,0.80)
x=74, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.23,0.55,0.80)
x=75, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.22,0.55,0.80)
x=76, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.22,0.56,0.80)
x=77, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.21,0.56,0.80)
x=78, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.21,0.56,0.80)
x=79, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.21,0.56,0.80)
x=80, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.20,0.56,0.81)
x=81, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.20,0.56,0.81)
x=82, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.19,0.56,0.81)
x=83, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.19,0.56,0.81)
x=84, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.18,0.56,0.81)
x=85, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.18,0.56,0.81)
x=86, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.17,0.56,0.81)
x=87, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.17,0.56,0.81)
x=88, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.17,0.56,0.81)
x=89, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.16,0.56,0.81)
x=90, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.16,0.56,0.81)
x=91, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.15,0.56,0.81)
x=92, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.15,0.56,0.81)
x=93, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.14,0.56,0.81)
x=94, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.14,0.56,0.81)
x=95, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.13,0.56,0.81)
x=96, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.13,0.56,0.82)
x=97, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.13,0.56,0.82)
x=98, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.12,0.56,0.82)
x=99, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.12,0.57,0.82)
x=100, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.11,0.57,0.82)
x=101, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.11,0.57,0.82)
x=102, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.10,0.57,0.82)
x=103, y=1, ray o = (0.10,0.10,0.00) ray d = (-0.10,0.57,0.82)
